DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2017-06-13,8407.9892578125,13,2,6.7,157,81.3
2017-06-14,8420.7890625,10,1,5.2,157,81.3
2017-06-15,8400.189453125,13,1,6.7,158,81.9
2017-06-16,8411.439453125,20,1,10.4,159,82.4
2017-06-19,8453.0888671875,14,1,7.3,158,81.9
2017-06-20,8453.9892578125,18,0,9.3,160,82.9
2017-06-21,8443.5888671875,10,1,5.2,159,82.4
2017-06-22,8423.8388671875,12,2,6.2,157,81.3
2017-06-23,8355.0888671875,6,3,3.1,153,79.3
2017-06-27,8285.4892578125,4,2,2.1,147,76.2
2017-06-28,8279.689453125,3,1,1.6,148,76.7
2017-06-29,8301.0888671875,4,0,2.1,150,77.7
2017-06-30,8331.5888671875,7,1,3.6,151,78.2
2017-07-03,8416.3896484375,11,2,5.7,156,80.8
2017-07-04,8410.689453125,12,1,6.2,155,80.3
2017-07-05,8451.4892578125,8,1,4.1,157,81.3
2017-07-06,8481.7392578125,13,0,6.7,157,81.3
2017-07-07,8479.439453125,8,0,4.1,157,81.3
2017-07-10,8556.939453125,17,0,8.8,159,82.4
2017-07-11,8544.8896484375,17,0,8.8,158,81.4
2017-07-12,8585.48828125,11,0,5.7,158,81.4
2017-07-13,8646.2880859375,20,0,10.3,159,82.0
2017-07-14,8640.6884765625,11,0,5.7,160,82.5
2017-07-17,8659.48828125,15,1,7.7,157,80.9
2017-07-18,8589.7880859375,17,0,8.8,157,80.9
2017-07-19,8662.138671875,13,0,6.7,161,83.0
2017-07-20,8641.587890625,10,0,5.2,160,82.5
2017-07-21,8669.73828125,12,0,6.2,158,81.4
2017-07-24,8702.837890625,16,0,8.2,161,83.0
2017-07-25,8710.587890625,15,0,7.7,160,82.5
2017-07-26,8748.73828125,18,0,9.3,163,84.0
2017-07-27,8737.087890625,23,0,11.9,162,83.5
2017-07-28,8747.4384765625,10,0,5.2,162,83.5
2017-07-31,8793.2880859375,20,0,10.3,161,83.0
2017-08-01,8812.587890625,26,1,13.4,162,83.5
2017-08-02,8786.837890625,15,0,7.7,162,83.5
2017-08-03,8729.2880859375,9,4,4.6,158,81.4
2017-08-04,8776.1884765625,15,3,7.7,158,81.4
2017-08-07,8806.4384765625,22,1,11.3,164,84.5
2017-08-08,8726.837890625,17,1,8.8,163,84.0
2017-08-09,8637.138671875,5,5,2.6,153,78.9
2017-08-10,8497.7392578125,1,7,0.5,143,73.7
2017-08-11,8427.689453125,1,7,0.5,145,74.4
2017-08-14,8541.4892578125,11,1,5.6,150,76.9
2017-08-16,8635.6884765625,13,0,6.7,155,79.5
2017-08-17,8643.2880859375,11,1,5.6,155,79.5
2017-08-18,8594.23828125,4,1,2.1,153,78.5
2017-08-21,8509.3896484375,6,2,3.1,145,74.4
2017-08-22,8499.2890625,4,1,2.1,140,71.8
2017-08-23,8584.98828125,5,0,2.6,145,74.4
2017-08-24,8605.73828125,12,0,6.2,147,75.4
2017-08-28,8669.587890625,16,0,8.2,150,76.9
2017-08-29,8571.7880859375,9,1,4.6,145,74.4
2017-08-30,8663.138671875,17,0,8.7,147,75.4
2017-08-31,8694.9384765625,20,0,10.3,146,74.9
2017-09-01,8755.23828125,16,0,8.2,153,78.1
2017-09-04,8700.337890625,13,0,6.6,147,75.0
2017-09-05,8747.1884765625,13,0,6.6,149,76.0
2017-09-06,8732.388671875,20,1,10.2,148,75.5
2017-09-07,8757.138671875,27,0,13.8,145,74.0
2017-09-08,8749.9384765625,21,1,10.7,147,75.0
2017-09-11,8810.9384765625,23,1,11.7,151,77.0
2017-09-12,8890.638671875,33,1,16.8,155,79.1
2017-09-13,8866.837890625,27,0,13.8,153,78.1
2017-09-14,8884.9384765625,9,1,4.6,159,81.1
2017-09-15,8887.587890625,6,1,3.1,160,81.6
2017-09-18,8946.888671875,17,0,8.6,162,82.2
2017-09-19,8951.73828125,22,0,11.2,161,81.7
2017-09-20,8938.388671875,13,0,6.6,163,82.7
2017-09-21,8911.1884765625,3,0,1.5,162,82.2
2017-09-22,8737.98828125,2,1,1.0,151,76.6
2017-09-25,8638.2880859375,1,2,0.5,144,73.1
2017-09-26,8654.587890625,2,0,1.0,148,75.1
2017-09-27,8520.939453125,4,1,2.0,137,69.2
2017-09-28,8557.0888671875,1,1,0.5,139,70.2
2017-09-29,8599.98828125,2,0,1.0,145,73.2
2017-10-03,8662.388671875,5,0,2.5,146,73.4
2017-10-04,8706.837890625,6,0,3.0,151,75.9
2017-10-05,8706.4384765625,6,0,3.0,152,76.4
2017-10-06,8787.388671875,12,0,6.0,156,78.4
2017-10-09,8798.2880859375,15,0,7.5,155,77.9
2017-10-10,8836.388671875,18,0,9.0,158,79.4
2017-10-11,8792.388671875,18,0,9.0,152,76.4
2017-10-12,8890.0380859375,14,0,7.0,156,78.4
2017-10-13,8937.1884765625,21,1,10.6,159,79.9
2017-10-16,8985.23828125,23,0,11.6,160,80.4
2017-10-17,9002.337890625,22,0,11.1,160,80.4
2017-10-18,8984.638671875,15,1,7.5,158,79.4
2017-10-19,8937.638671875,8,0,4.0,157,78.9
2017-10-23,8972.888671875,17,1,8.5,155,77.5
2017-10-24,8993.7880859375,19,1,9.5,155,77.5
2017-10-25,9065.138671875,19,0,9.5,165,82.1
2017-10-26,9106.73828125,23,0,11.4,162,80.6
2017-10-27,9104.4384765625,22,0,10.9,165,82.1
2017-10-30,9165.087890625,17,0,8.5,166,82.6
2017-10-31,9153.587890625,19,0,9.5,169,84.1
2017-11-01,9234.837890625,24,0,11.9,167,83.1
2017-11-02,9237.73828125,16,0,8.0,172,85.6
2017-11-03,9260.638671875,17,0,8.5,169,84.1
2017-11-06,9273.087890625,16,0,8.0,169,84.1
2017-11-07,9169.5380859375,19,1,9.5,165,82.1
2017-11-08,9117.5380859375,9,2,4.5,163,81.1
2017-11-09,9147.2880859375,12,1,6.0,163,81.1
2017-11-10,9154.9384765625,18,0,9.0,162,80.6
2017-11-13,9082.4384765625,14,1,7.0,163,81.1
2017-11-14,9051.48828125,7,1,3.5,160,79.6
2017-11-15,8973.73828125,7,1,3.5,154,76.6
2017-11-16,9064.98828125,7,0,3.5,157,78.1
2017-11-17,9137.087890625,9,0,4.5,162,80.2
2017-11-20,9161.888671875,8,0,4.0,162,80.2
2017-11-21,9185.388671875,13,0,6.4,162,80.2
2017-11-22,9195.6884765625,14,1,6.9,162,80.2
2017-11-23,9207.388671875,15,0,7.4,164,81.2
2017-11-24,9246.0380859375,11,0,5.4,164,81.2
2017-11-27,9267.48828125,11,0,5.4,166,82.2
2017-11-28,9254.2880859375,15,0,7.4,167,82.7
2017-11-29,9244.6884765625,14,0,6.9,166,82.2
2017-11-30,9154.48828125,13,2,6.4,165,81.7
2017-12-01,9060.388671875,15,2,7.4,162,80.2
2017-12-04,9059.337890625,6,2,3.0,155,76.7
2017-12-05,9056.587890625,2,3,1.0,154,76.2
2017-12-06,8988.5380859375,4,2,2.0,149,73.8
2017-12-07,9103.0380859375,11,1,5.4,157,77.7
2017-12-08,9190.5380859375,16,0,7.9,163,80.7
2017-12-11,9231.888671875,18,0,8.9,161,79.7
2017-12-12,9156.48828125,11,0,5.4,154,76.2
2017-12-13,9101.7880859375,10,1,5.0,153,75.7
2017-12-14,9133.638671875,4,2,2.0,153,75.7
2017-12-15,9216.73828125,11,0,5.4,154,76.2
2017-12-18,9270.837890625,19,2,9.4,160,79.2
2017-12-19,9360.4375,19,0,9.4,167,82.7
2017-12-20,9363.4375,28,0,13.9,167,82.7
2017-12-21,9387.7373046875,19,0,9.4,166,82.2
2017-12-22,9431.4873046875,19,0,9.4,167,82.7
2017-12-26,9470.3369140625,25,0,12.4,169,83.7
2017-12-27,9438.2373046875,18,0,8.9,173,85.6
2017-12-28,9435.8369140625,20,0,9.9,169,83.7
2017-12-29,9490.6376953125,18,0,8.9,172,85.1
2018-01-01,9434.4873046875,18,0,8.9,170,84.2
2018-01-02,9417.8369140625,6,0,3.0,172,85.1
2018-01-03,9439.3369140625,16,0,7.9,171,84.7
2018-01-04,9505.7373046875,20,0,9.9,169,83.7
2018-01-05,9573.4375,26,0,12.9,177,87.6
2018-01-08,9639.2373046875,30,0,14.9,180,89.1
2018-01-09,9640.7373046875,26,0,12.9,181,89.6
2018-01-10,9630.5869140625,25,0,12.4,176,87.1
2018-01-11,9650.287109375,17,0,8.4,175,86.6
2018-01-12,9665.1875,14,0,6.9,175,86.6
2018-01-15,9699.8369140625,15,0,7.4,176,87.1
2018-01-16,9612.5869140625,16,1,7.9,168,83.2
2018-01-17,9686.5869140625,14,1,6.9,170,84.2
2018-01-18,9646.787109375,17,1,8.4,167,82.7
2018-01-19,9723.0869140625,13,0,6.4,168,83.2
2018-01-22,9787.287109375,25,0,12.4,170,84.2
2018-01-23,9877.1875,28,0,13.9,168,83.2
2018-01-24,9853.8876953125,23,1,11.4,168,83.2
2018-01-25,9809.9873046875,14,1,6.9,166,82.2
2018-01-29,9819.4375,13,2,6.4,159,78.3
2018-01-30,9743.037109375,4,2,2.0,155,76.4
2018-01-31,9697.8876953125,4,0,2.0,153,75.4
2018-02-01,9687.037109375,12,2,5.9,158,77.8
2018-02-02,9409.787109375,4,5,2.0,139,68.5
2018-02-05,9344.3876953125,2,8,1.0,138,68.0
